Main heading;Sub heading;Item;Page number
Rules;Master Talent List;Aethyric Attunement;132
Rules;Master Talent List;Alley Cat;132
Rules;Master Talent List;Ambidextrous;132
Rules;Master Talent List;Talent Format;132
Rules;Master Talent List;Master Talent List;132
Rules;Master Talent List;Talents;132
Rules;Master Talent List;Gaining Talents;132
Rules;Master Talent List;Animal Affinity;133
Rules;Master Talent List;Arcane Magic;133
Rules;Master Talent List;Argumentative;133
Rules;Master Talent List;Artistic;133
Rules;Master Talent List;Attractive;133
Rules;Master Talent List;Battle Rage;133
Rules;Master Talent List;Beat Blade;133
Rules;Master Talent List;Beneath Notice;133
Rules;Master Talent List;Berserk Charge;133
Rules;Master Talent List;Blather;133
Rules;Master Talent List;Bless;134
Rules;Master Talent List;Bookish;134
Rules;Master Talent List;Break and Enter;134
Rules;Master Talent List;Briber;134
Rules;Master Talent List;Cardsharp;134
Rules;Master Talent List;Careful Strike;134
Rules;Master Talent List;Carouser;134
Rules;Master Talent List;Catfall;134
Rules;Master Talent List;Cat-tongued;134
Rules;Master Talent List;Champion;134
Rules;Master Talent List;Chaos Magic;134
Rules;Master Talent List;Combat Aware;134
Rules;Master Talent List;Combat Reflexes;135
Rules;Master Talent List;Commanding Presence;135
Rules;Master Talent List;Concoct;135
Rules;Master Talent List;Contortionist;135
Rules;Master Talent List;Coolheaded;135
Rules;Master Talent List;Crack the Whip;135
Rules;Master Talent List;Craftsman;135
Rules;Master Talent List;Criminal;135
Rules;Master Talent List;Deadeye Shot;135
Rules;Master Talent List;Dealmaker;135
Rules;Master Talent List;Detect Artefact;135
Rules;Master Talent List;Diceman;135
Rules;Master Talent List;Dirty Fighting;136
Rules;Master Talent List;Disarm;136
Rules;Master Talent List;Distract;136
Rules;Master Talent List;Doomed;136
Rules;Master Talent List;Drilled;136
Rules;Master Talent List;Dual Wielder;136
Rules;Master Talent List;Embezzle;136
Rules;Master Talent List;We're Doomed!;136
Rules;Master Talent List;Enclosed Fighter;137
Rules;Master Talent List;Etiquette;137
Rules;Master Talent List;Fast Hands;137
Rules;Master Talent List;Fast Shot;137
Rules;Master Talent List;Fearless;137
Rules;Master Talent List;Feint;137
Rules;Master Talent List;Field Dressing;138
Rules;Master Talent List;Fisherman;138
Rules;Master Talent List;Flagellant;138
Rules;Master Talent List;Flee!;138
Rules;Master Talent List;Fleet Footed;138
Rules;Master Talent List;Frenzy;138
Rules;Master Talent List;Frightening;138
Rules;Master Talent List;Furious Assault;138
Rules;Master Talent List;Gregarious;138
Rules;Master Talent List;Gunner;138
Rules;Master Talent List;Hardy;138
Rules;Master Talent List;Hatred;138
Rules;Master Talent List;Holy Hatred;138
Rules;Master Talent List;Holy Visions;138
Rules;Master Talent List;Hunter's Eye;138
Rules;Master Talent List;Impassioned Zeal;139
Rules;Master Talent List;Implacable;139
Rules;Master Talent List;In-fighter;139
Rules;Master Talent List;Inspiring;139
Rules;Master Talent List;Instinctive Diction;139
Rules;Master Talent List;Invoke;139
Rules;Master Talent List;Iron Jaw;139
Rules;Master Talent List;Iron Will;140
Rules;Master Talent List;Jump Up;140
Rules;Master Talent List;Kingpin;140
Rules;Master Talent List;Lightning Reflexes;140
Rules;Master Talent List;Linguistics;140
Rules;Master Talent List;Lip Reading;140
Rules;Master Talent List;Luck;140
Rules;Master Talent List;Magic Resistance;140
Rules;Master Talent List;Magical Sense;140
Rules;Master Talent List;Magnum Opus;140
Rules;Master Talent List;Marksman;140
Rules;Master Talent List;Master of Disguise;140
Rules;Master Talent List;Master Orator;140
Rules;Master Talent List;Master Tradesman;140
Rules;Master Talent List;Menacing;140
Rules;Master Talent List;Mimic;141
Rules;Master Talent List;Night Vision;141
Rules;Master Talent List;Nimble Fingered;141
Rules;Master Talent List;Noble Blood;141
Rules;Master Talent List;Nose for Trouble;141
Rules;Master Talent List;Numismatics;141
Rules;Master Talent List;Old Salt;141
Rules;Master Talent List;Orientation;141
Rules;Master Talent List;Panhandle;141
Rules;Master Talent List;Perfect Pitch;142
Rules;Master Talent List;Petty Magic;142
Rules;Master Talent List;Pharmacist;142
Rules;Master Talent List;Pilot;142
Rules;Master Talent List;Public Speaker;142
Rules;Master Talent List;Pure Soul;142
Rules;Master Talent List;Rapid Reload;142
Rules;Master Talent List;Reaction Strike;142
Rules;Master Talent List;Read/Write;142
Rules;Master Talent List;Relentless;142
Rules;Master Talent List;Resistance;143
Rules;Master Talent List;Resolute;143
Rules;Master Talent List;Reversal;143
Rules;Master Talent List;Riposte;143
Rules;Master Talent List;River Guide;143
Rules;Master Talent List;Robust;143
Rules;Master Talent List;Roughrider;143
Rules;Master Talent List;Rover;143
Rules;Master Talent List;Savant;143
Rules;Master Talent List;Savvy;144
Rules;Master Talent List;Scale Sheer Surface;144
Rules;Master Talent List;Schemer;144
Rules;Master Talent List;Sea Legs;144
Rules;Master Talent List;Seasoned Traveller;144
Rules;Master Talent List;Second Sight;144
Rules;Master Talent List;Secret Identity;144
Rules;Master Talent List;Shadow;144
Rules;Master Talent List;Sharp;144
Rules;Master Talent List;Sharpshooter;145
Rules;Master Talent List;Shieldsman;145
Rules;Master Talent List;Sixth Sense;145
Rules;Master Talent List;Slayer;145
Rules;Master Talent List;Small;145
Rules;Master Talent List;Sniper;145
Rules;Master Talent List;Speedreader;145
Rules;Master Talent List;Sprinter;145
Rules;Master Talent List;Step Aside;145
Rules;Master Talent List;Stone Soup;145
Rules;Master Talent List;Stout-hearted;145
Rules;Master Talent List;Strider;145
Rules;Master Talent List;Strike Mighty Blow;145
Rules;Master Talent List;Strike to Injure;146
Rules;Master Talent List;Strike to Stun;146
Rules;Master Talent List;Strong Back;146
Rules;Master Talent List;Strong Legs;146
Rules;Master Talent List;Strong-minded;146
Rules;Master Talent List;Strong Swimmer;146
Rules;Master Talent List;Sturdy;146
Rules;Master Talent List;Suave;146
Rules;Master Talent List;Super Numerate;146
Rules;Master Talent List;Supportive;146
Rules;Master Talent List;Sure Shot;146
Rules;Master Talent List;Surgery;146
Rules;Master Talent List;Tinker;146
Rules;Master Talent List;Tower of Memories;146
Rules;Master Talent List;Tenacious;147
Rules;Master Talent List;Trapper;147
Rules;Master Talent List;Trick Riding;147
Rules;Master Talent List;Tunnel Rat;147
Rules;Master Talent List;Unshakable;147
Rules;Master Talent List;Very Resilient;147
Rules;Master Talent List;Very Strong;147
Rules;Master Talent List;War Leader;147
Rules;Master Talent List;War Wizard;147
Rules;Master Talent List;Warrior Born;147
Rules;Master Talent List;Waterman;147
Rules;Master Talent List;Wealthy;147
Rules;Master Talent List;Well-prepared;147
Rules;Master Talent List;Witch!;147
Rules;Master Talent List;Rules;148
Rules;Simple Tests;The Golden Rule;149
Rules;Simple Tests;Talents and Tests;149
Rules;Simple Tests;Tests;149
Rules;Simple Tests;Simple Tests;149
Rules;Automatic Failure and Success;Automatic Failure and Success;150
Rules;Automatic Failure and Success;Autosuccess? Not At My Table!;150
Rules;Automatic Failure and Success;Von Meinkopf 's Preeminent Probability;150
Rules;Automatic Failure and Success;Great Game Rules;151
Rules;Automatic Failure and Success;Options: Tests Above 100%;151
Rules;Dramatic Tests;Options: Fast SL;152
Rules;Dramatic Tests;Outcomes Table;152
Rules;Dramatic Tests;Success Levels;152
Rules;Dramatic Tests;Dramatic Tests;152
Rules;Difficulty;Characteristic Tests;153
Rules;Difficulty;Criticals & Fumbles;153
Rules;Difficulty;Difficulty;153
Rules;Difficulty;Difficulty Table;153
Rules;Difficulty;Opposed Tests;153
Rules;Difficulty;Extended Tests;154
Rules;Assistance;Assistance;155
Rules;Assistance;Options: Combining Skills;155
Rules;Assistance;Extended Tests and 0 SL;155
Rules;Surprise;Rounds Outside Combat;156
Rules;Surprise;Combat Summary;156
Rules;Surprise;Combat;156
Rules;Surprise;Initiative Order;156
Rules;Surprise;Roll For Initiative!;156
Rules;Surprise;Surprise;156
Rules;Surprise;Timing;156
Rules;Taking Your Turn;Surprise Talents !;157
Rules;Taking Your Turn;Taking Your Turn;157
Rules;Attacking;Action;158
Rules;Attacking;Free Actions;158
Rules;Attacking;Attacking;158
Rules;Attacking;Default Combat Difficulty;158
Rules;Attacking;Options: On The Defensive;158
Rules;Attacking;Move;158
Rules;Attacking;Roll to Hit;158
Rules;Criticals and Fumbles;Apply Damage;159
Rules;Criticals and Fumbles;Criticals;159
Rules;Criticals and Fumbles;Criticals & Fumbles;159
Rules;Criticals and Fumbles;Determine Damage;159
Rules;Criticals and Fumbles;Determine Hit Location;159
Rules;Criticals and Fumbles;Engaged;159
Rules;Criticals and Fumbles;Hit Locations Table;159
Rules;Criticals and Fumbles;Opposing a Melee Attack;159
Rules;Criticals and Fumbles;Success Levels in Combat;159
Rules;Combat Difficulty;Options: Deathblow;160
Rules;Combat Difficulty;Fumbles;160
Rules;Combat Difficulty;Misfires!;160
Rules;Combat Difficulty;Oops! Table;160
Rules;Combat Difficulty;Opposed Tests and Fumbles;160
Rules;Combat Difficulty;Ranged Combat;160
Rules;Combat Difficulty;Combat Difficulty;161
Rules;Combat Difficulty;Combining Difficulties;162
Rules;Combat Difficulty;Helpless Targets;162
Rules;Combat Difficulty;Outnumbering;162
Rules;Combat Difficulty;Shooting into a Group;162
Rules;Combat Difficulty;Options: Shooting into Melee;162
Rules;Combat Difficulty;Size;162
Rules;Combat Difficulty;Special cases;162
Rules;Mounted Combat;Grappling;163
Rules;Mounted Combat;Options: Grappling With Skills;163
Rules;Mounted Combat;Mounted Combat;163
Rules;Mounted Combat;Scatter;163
Rules;Mounted Combat;Two-Weapon Fighting;163
Rules;Mounted Combat;Unarmed Combat;163
Rules;Moving;Advantage;164
Rules;Moving;Benefits of Advantage;164
Rules;Moving;Gaining Advantage;164
Rules;Moving;Losing Advantage;164
Rules;Moving;Options: Limiting Advantage;164
Rules;Moving;Moving;164
Rules;Moving During Combat;Charging;165
Rules;Moving During Combat;Climbing;165
Rules;Moving During Combat;Disengaging;165
Rules;Moving During Combat;Fleeing;165
Rules;Moving During Combat;Moving During Combat;165
Rules;Moving During Combat;Movement Table;165
Rules;Moving During Combat;Running;165
Rules;Pursuit;Falling;166
Rules;Pursuit;Leaping;166
Rules;Pursuit;Leaping, and Falling;166
Rules;Pursuit;Movement Modifiers;166
Rules;Pursuit;Pursuit;166
Rules;Master Condition List;Options: Chase Complication;167
Rules;Master Condition List;Master Condition List;167
Rules;Master Condition List;Conditions;167
Rules;Master Condition List;Multiple Conditions;167
Rules;Master Condition List;Conditions and Resolve;167
Rules;Master Condition List;Bleeding;168
Rules;Master Condition List;Blinded;168
Rules;Master Condition List;Broken;168
Rules;Master Condition List;Deafened;168
Rules;Master Condition List;Entangled;168
Rules;Master Condition List;Options: Getting Tired;168
Rules;Master Condition List;Fatigued;169
Rules;Master Condition List;How Much Rest ?;169
Rules;Master Condition List;Poisoned;169
Rules;Master Condition List;Prone;169
Rules;Master Condition List;Stunned;169
Rules;Master Condition List;Surprised;169
Rules;Master Condition List;Unconscious;169
Rules;Fate and Fortune;Spending Fate;170
Rules;Fate and Fortune;Fate and Fortune;170
Rules;Fate and Fortune;Fate & Resilience;170
Rules;Fate and Fortune;Spending Fortune;170
Rules;Resilience and Resolve;Regaining Fate and Fortune;171
Rules;Resilience and Resolve;Long Gaming Sessions;171
Rules;Resilience and Resolve;Spending Resilience;171
Rules;Resilience and Resolve;Resilience & Resolve;171
Rules;Resilience and Resolve;Spending Resolve;171
Rules;Wounds, Critical Wounds, and Death;Injury;172
Rules;Wounds, Critical Wounds, and Death;Regaining Resilience & Resolve;172
Rules;Wounds, Critical Wounds, and Death;Wounds W;172
Rules;Wounds, Critical Wounds, and Death;Critical Wounds;172
Rules;Wounds, Critical Wounds, and Death;Wounds, Critical Wounds, and Death;172
Rules;Wounds, Critical Wounds, and Death;Death;173
Rules;Wounds, Critical Wounds, and Death;Options: Sudden Death;173
Rules;Wounds, Critical Wounds, and Death;Pulling Your Blows;173
Rules;Wounds, Critical Wounds, and Death;Critical Tables;174
Rules;Torn Muscles;Broken Bones;179
Rules;Torn Muscles;Healing Hands;179
Rules;Torn Muscles;Torn Muscles;179
Rules;Amputated Parts;Amputated Parts;180
Rules;Amputated Parts;Arm;180
Rules;Amputated Parts;Ear;180
Rules;Amputated Parts;Eye;180
Rules;Amputated Parts;Fingers;180
Rules;Amputated Parts;Foot;180
Rules;Amputated Parts;Hand;180
Rules;Amputated Parts;Leg;180
Rules;Amputated Parts;Nose;180
Rules;Amputated Parts;Teeth;180
Rules;Amputated Parts;Toes;180
Rules;Amputated Parts;Tongue;180
Rules;Other Damage;Other Damage;181
Rules;Other Damage;Drowning and Suffocation;181
Rules;Other Damage;Exposure;181
Rules;Other Damage;Healing;181
Rules;Other Damage;Healing Critical Wounds;181
Rules;Other Damage;Healing Wounds;181
Rules;Other Damage;Medical Attention;181
Rules;Other Damage;Surgery;181
Rules;Other Damage;Thirst and Starvation;181
Rules;Gaining Corruption Points;Corrupting Influences;182
Rules;Gaining Corruption Points;Corruption;182
Rules;Gaining Corruption Points;Gaining Corruption Points;182
Rules;Gaining Corruption Points;Dark Deals;182
Rules;Gaining Corruption Points;Options: Encroaching Darknessâ€¦;182
Rules;Losing Corruption Points;Corrupting;183
Rules;Losing Corruption Points;Corruption Limits;183
Rules;Losing Corruption Points;Losing Corruption Points;183
Rules;Losing Corruption Points;Dark Whispers;183
Rules;Losing Corruption Points;Dissolution of Body and Mind;183
Rules;Losing Corruption Points;Be Very Careful;184
Rules;Losing Corruption Points;Physical Corruption Table;184
Rules;Losing Corruption Points;Absolution;185
Rules;Losing Corruption Points;Mental Corruption Table;185
Rules;Losing Corruption Points;Options: Slow Manifestations;185
Rules;The Litany of Pestilence;The Black Plague;186
Rules;The Litany of Pestilence;Blood Rot;186
Rules;The Litany of Pestilence;The Bloody Flux;186
Rules;The Litany of Pestilence;Disease and Infection;186
Rules;The Litany of Pestilence;Using Diseases;186
Rules;The Litany of Pestilence;The Litany of Pestilence;186
Rules;The Litany of Pestilence;Festering Wound;187
Rules;The Litany of Pestilence;Galloping Trots;187
Rules;The Litany of Pestilence;Itching Pox;187
Rules;The Litany of Pestilence;Minor Infection;187
Rules;The Litany of Pestilence;P Packer's Pox;187
Rules;The Litany of Pestilence;Ratte Fever;187
Rules;Symptoms;Blight;188
Rules;Symptoms;Buboes;188
Rules;Symptoms;Convulsions;188
Rules;Symptoms;Coughs and Sneezes;188
Rules;Symptoms;Fever;188
Rules;Symptoms;Stirring Nurgle's Cauldron;188
Rules;Symptoms;Symptoms;188
Rules;Symptoms;Flux;189
Rules;Symptoms;Gangrene;189
Rules;Symptoms;Lingering;189
Rules;Symptoms;Malaise;189
Rules;Symptoms;Nausea;189
Rules;Symptoms;Pox;189
Rules;Symptoms;Wounded;189
Rules;Psychological Traits;Animosity Target;190
Rules;Psychological Traits;Fear Rating;190
Rules;Psychological Traits;Frenzy;190
Rules;Psychological Traits;Hatred Target;190
Rules;Psychological Traits;Prejudice Target;190
Rules;Psychological Traits;Psychological Traits;190
Rules;Psychological Traits;Psychology;190
Rules;Psychological Traits;Psychology Test;190
Rules;Custom Psychology;Example: Camaraderie;191
Rules;Custom Psychology;Example: Love;191
Rules;Custom Psychology;Example: Phobia;191
Rules;Custom Psychology;Custom Psychology;191
Rules;Custom Psychology;Terror Rating;191
Rules;Custom Psychology;Example: Trauma;191
Between Adventures;Events;Between Adventures;192
Between Adventures;Events;Events;192
Between Adventures;Events;Events Table;193
Between Adventures;Duties & Responsibilities;Duties & Responsibilities;195
Between Adventures;Duties & Responsibilities;Endeavours;195
Between Adventures;Duties & Responsibilities;Money to Burn;195
Between Adventures;Duties & Responsibilities;Year In, Year Out;195
Between Adventures;General Endeavours;Animal Training;196
Between Adventures;General Endeavours;Banking;196
Between Adventures;General Endeavours;Changing Career;196
Between Adventures;General Endeavours;Elf Esteem;196
Between Adventures;General Endeavours;General Endeavours;196
Between Adventures;General Endeavours;Flying Solo;196
Between Adventures;General Endeavours;Commission;197
